Principio Attivo;Descrizione Gruppo;Denominazione e Confezione;Prezzo al pubblico €;Prezzo Ex-factory €;Prezzo massimo di cessione €;Titolare AIC;"Codice 
AIC";Codice Gruppo Equivalenza;Metri cubi ossigeno 
Amoxicillina/acido clavulanico;AMOXICILLINA+ACIDO CLAVULANICO 1.000MG + 200MG 10 UNITA' USO PARENTERALE;AMOXICILLINA E ACIDO CLAVULANICO*10 flaconcini polv EV 1.000 mg + 200 mg;32,95;19,96;-;IBIGEN Srl;036766044;GYG;
Vutrisiran;VUTRISIRAN 50MG/ML 0,5ML 1 UNITA' USO PARENTERALE;AMVUTTRA*SC siringa preriempita 50 mg/ml 0,5 ml;147831,49;89573,13;-;ALNYLAM NETHERLANDS B.V.;050291018;MON;
Antitrombina III Umana;ANTITROMBINA III UMANA 1.000UI 20ML USO PARENTERALE;ANBINEX*1 flacone 1.000 UI + 1 siringa;-;-;330,00;INSTITUTO GRIFOLS S.A.;034330047;AEK;
Antitrombina III Umana;ANTITROMBINA III UMANA 500UI 10ML USO PARENTERALE;ANBINEX*1 flacone 500 UI + 1 siringa;-;-;165,00;INSTITUTO GRIFOLS S.A.;034330035;AEN;
Flumazenil;FLUMAZENIL 0,5MG 5ML 1 UNITA' USO PARENTERALE;ANEXATE*1 fiala EV 0,5 mg 5 ml;20,11;9,14;-;CHEPLAPHARM ARZNEIMITTEL GMBH;026749010;ARD;
Flumazenil;FLUMAZENIL 1MG 10ML 1 UNITA' USO PARENTERALE;ANEXATE*1 fiala EV 1 mg 10 ml;36,20;16,45;-;CHEPLAPHARM ARZNEIMITTEL GMBH;026749034;ARF;
Anidulafungina;ANIDULAFUNGINA 100MG 30ML 1 UNITA' USO PARENTERALE;ANIDULAFUNGINA*1 flaconcino EV 100 mg;405,80;245,88;-;MEDAC PHARMA Srl;045563018;AEJ;
Anidulafungina;ANIDULAFUNGINA 100MG 30ML 1 UNITA' USO PARENTERALE;ANIDULAFUNGINA*1 flaconcino EV 100 mg;405,80;245,88;-;ACCORD HEALTHCARE SLU;045609017;AEJ;
Antitrombina III Umana;ANTITROMBINA III UMANA 1.000UI 20ML USO PARENTERALE;ANTITROMBINA III*1 flaconcino EV 1.000 UI + 1 flaconcino solv 20 ml;-;-;330,00;BAXALTA INNOVATIONS GMBH;027113024;AEK;
Antitrombina III Umana;ANTITROMBINA III UMANA 500UI 10ML USO PARENTERALE;ANTITROMBINA III*1 flaconcino EV 500 UI + 1 flaconcino solv 10 ml;-;-;165,00;BAXALTA INNOVATIONS GMBH;027113012;AEN;
Paclitaxel;PACLITAXEL 100MG 20ML 1 UNITA' USO PARENTERALE;APEXELSIN*1 flaconcino polv infus EV 100 mg 5 mg/ml;249,24;151,02;;WHITEOAK PHARMACEUTIACL B.V.;051403018;BGV;
Apomorfina;APOMORFINA 50MG/5ML 5 UNITA' USO PARENTERALE;APOFIN*5 fiale SC 5 ml 50 mg/5 ml;65,03;29,55;-;CHIESI ITALIA SpA;033403015;AEO;
Aprepitant;APREPITANT 125MG 1 UNITA' + 80 MG 2 UNITA' USO ORALE;APREPITANT*1 cps 125 mg + 2 cps 80 mg;62,14;37,65;-;TEVA B.V.;046673012;AEP;
Aprepitant;APREPITANT 125MG 1 UNITA' + 80 MG 2 UNITA' USO ORALE;APREPITANT*1 cps 125 mg + 2 cps 80 mg;62,14;37,65;-;ACCORD HEALTHCARE SLU;046991042;AEP;
Tipranavir;TIPRANAVIR 250MG 120 UNITA' USO ORALE;APTIVUS*120 cps molli 250 mg flacone;1206,48;731,03;-;BOEHRINGER INGELHEIM INT.GMBH;036859015;BMN;
Citarabina;CITARABINA 100MG 5ML 1 UNITA' USO PARENTERALE;ARACYTIN*1 flacone SC EV 100 mg + 1 fiala solv 5 ml;4,80;2,18;-;PFIZER ITALIA Srl;022391015;AIZ;
Citarabina;CITARABINA 500MG 10ML 1 UNITA' USO PARENTERALE;ARACYTIN*1 flacone SC EV 500 mg + 1 fiala solv 10 ml;18,13;8,24;-;PFIZER ITALIA Srl;022391039;AJF;
